pays,population_totale_2017,croissance_pop_2012_2017_pct,pib_habitant_usd,indice_stabilite_politique,indice_score_epi,conso_volaille_kg_hab,conso_volaille_pct,importations_volaille_kg,tdi_volaille_pct
Sri Lanka,21128032.000,2.900,4272.831,-0.080,60.610,7.780,86.160,0.000,0.000
Suède,9904896.000,3.794,53299.992,0.970,80.510,16.600,21.540,84000000.000,34.850
Suisse,8455804.000,5.592,82236.980,1.240,87.420,15.720,23.280,51000000.000,35.920
Suriname,570496.000,5.404,6049.521,0.120,54.200,31.060,73.270,18000000.000,64.290
Tadjikistan,8880268.000,12.768,829.457,-0.670,47.850,4.450,27.020,38000000.000,95.000
Tchad,15016753.000,17.458,854.461,-1.290,45.340,0.450,1.700,1000000.000,14.290
Tchéquie,10641034.000,0.565,21018.537,0.990,67.680,21.960,26.530,116000000.000,41.580
Thaïlande,69209810.000,2.025,6413.092,-0.750,49.880,12.950,47.300,2000000.000,0.120
Timor-Leste,1243258.000,9.732,1276.827,0.070,49.540,4.240,13.460,11000000.000,91.670
Togo,7698474.000,13.651,792.766,-0.870,41.780,7.060,56.120,16000000.000,28.570
Trinité-et-Tobago,1384059.000,2.918,16500.669,0.270,67.360,54.540,79.450,23000000.000,27.380
Tunisie,11433443.000,5.406,3619.032,-1.020,62.350,17.030,60.070,0.000,0.000
Turquie,81116450.000,8.661,10338.838,-1.790,52.960,20.640,53.110,3000000.000,0.140
Turkménistan,5757667.000,9.297,5828.482,-0.130,66.100,4.520,7.510,9000000.000,31.030
Ukraine,44487709.000,-2.125,2466.995,-1.870,52.870,22.620,48.210,121000000.000,9.080
Uruguay,3436641.000,1.707,19184.663,1.040,64.650,9.120,15.810,3000000.000,8.330
Vanuatu,285510.000,14.433,3159.861,0.680,44.550,11.660,32.370,4000000.000,80.000
Venezuela (République bolivarienne du),29402484.000,0.142,8082.724,-1.250,63.890,20.280,49.540,25000000.000,4.000
Viet Nam,94600648.000,5.344,2956.110,0.210,46.960,12.330,19.470,291000000.000,24.070
Zambie,16853599.000,16.512,1485.020,0.140,50.970,3.420,26.090,12000000.000,19.670
Zimbabwe,14236595.000,8.551,1487.978,-0.710,43.410,4.680,26.500,6000000.000,8.000
